track_name,duration_ms,energy,danceability,loudness,valence,tempo,time_signature,pitch_avg,timbre_avg,key_change_percentage,mode_avg,playlist
"Bach, J.S.: Violin Partita No. 2 in D Minor, BWV 1004: V. Chaconne",946800,0.109,0.245,-18.066,0.209,101.702,1,"[0.16, 0.27, 0.42, 0.08, 0.19, 0.19, 0.14, 0.18, 0.08, 0.31, 0.15, 0.15]","[37.83, 63.86, 120.24, 17.91, 69.77, -17.07, -34.71, -5.06, -5.29, -1.15, -1.34, 4.67]",96.7741935483871,0.61,ja
"Goldberg Variations, BWV 988: Variation 1 a 1 Clav.",70387,0.462,0.504,-16.922,0.984,164.917,4,"[0.2, 0.18, 0.32, 0.12, 0.24, 0.07, 0.25, 0.29, 0.11, 0.27, 0.08, 0.25]","[39.54, -73.72, 45.93, 46.75, 41.24, -21.18, -13.78, 0.77, -0.38, -0.06, -12.18, -0.8]",66.66666666666666,1.0,ja
"Goldberg Variations, BWV 988: Variation 3 a 1 Clav. Canone all'Unisono",90707,0.282,0.42,-23.046,0.936,96.199,4,"[0.31, 0.2, 0.31, 0.12, 0.28, 0.08, 0.28, 0.34, 0.1, 0.29, 0.09, 0.4]","[34.29, -113.22, 39.28, 21.72, 52.7, -31.49, -10.22, 0.32, 8.21, 1.61, -3.07, -3.59]",50.0,0.75,ja
"Bach: Partita in A Minor, BWV 1013: I. Allemande",302080,0.0288,0.386,-26.494,0.682,135.355,5,"[0.17, 0.11, 0.22, 0.17, 0.17, 0.16, 0.14, 0.25, 0.12, 0.2, 0.22, 0.1]","[30.86, -82.25, 137.64, 33.56, 106.67, -16.46, -18.35, -0.11, -1.66, -2.08, -3.01, -12.1]",88.88888888888889,0.54,ja
"Sonata No.2 In E Flat Major, BWV 1031: 2. Siciliano",116280,0.0321,0.301,-26.834,0.525,111.549,3,"[0.11, 0.32, 0.17, 0.1, 0.18, 0.14, 0.27, 0.08, 0.27, 0.21, 0.06, 0.23]","[30.78, -6.57, 91.97, 11.78, 102.05, -22.01, -28.41, -6.86, -3.68, 2.19, -4.92, -9.59]",75.0,0.5,ja
"Die Kunst der Fuga, BWV 1080: I. Fuga simplex rectus, BWV 1080/1",182920,0.0645,0.259,-20.076,0.102,104.571,4,"[0.21, 0.45, 0.1, 0.26, 0.22, 0.1, 0.2, 0.13, 0.38, 0.24, 0.17, 0.27]","[37.0, -53.04, 12.53, -28.22, 23.96, -24.9, -27.78, -7.03, 2.56, -3.72, -3.26, 1.36]",66.66666666666667,0.17,ja
"St. Matthew Passion, BWV 244, Pt. 1: No. 3, Herzliebster Jesu, was hast du verbrochen (Live)",61889,0.15,0.305,-16.553,0.12,32.591,3,"[0.24, 0.32, 0.3, 0.13, 0.28, 0.14, 0.48, 0.24, 0.11, 0.22, 0.22, 0.48]","[40.49, -42.19, 59.17, -4.69, 28.48, -31.59, 5.16, 4.85, -9.46, -1.94, -3.56, 2.53]",0.0,0.0,ja
"O Welt, sieh' hier dein Leben, BWV 395",49520,0.168,0.139,-19.161,0.17,77.053,1,"[0.43, 0.31, 0.18, 0.47, 0.21, 0.34, 0.13, 0.28, 0.45, 0.17, 0.4, 0.15]","[36.59, -56.87, 32.84, -17.05, 34.87, -27.45, -19.21, 0.16, -1.16, -1.16, -2.69, 6.79]",50.0,1.0,ja
"Concerto in F major, BWV 978 (from Vivaldi RV 310) - Arr. for harp and orchestra by N.Zabaleta: 3. Allegro",161360,0.257,0.682,-19.163,0.599,96.099,1,"[0.45, 0.22, 0.36, 0.16, 0.3, 0.3, 0.2, 0.39, 0.21, 0.39, 0.21, 0.26]","[35.1, -54.1, 22.12, 13.62, 28.83, -5.98, -12.2, -3.65, -2.29, -1.84, -10.99, -3.24]",80.0,0.71,ja
"In dich hab' ich gehoffet, Herr, BWV 640",55000,0.0357,0.0953,-24.547,0.201,74.114,3,"[0.22, 0.24, 0.15, 0.26, 0.56, 0.15, 0.49, 0.39, 0.1, 0.21, 0.15, 0.49]","[33.81, -55.42, 67.0, -4.28, -7.9, -21.17, 11.83, 4.1, -27.52, -10.36, -2.93, -2.11]",50.0,0.67,ja
