id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature
1Xijd6plP4qvI8XtJwBLIP,"Turn Right, Turn Left",short_term,2.484848484848485,1Xijd6plP4qvI8XtJwBLIP,0.486,0.526,-12.025,0.109,111.424,1,0.0294,0.285,0.805,234907,4
1ZyfAtLlLn1ydIB8REV2OY,What Makes Me Think About You,short_term,2.4242424242424243,1ZyfAtLlLn1ydIB8REV2OY,0.696,0.524,-9.102,0.384,168.994,1,0.0438,0.456,0.687,251827,4
3FJ4suZo6FuW0xmARmE0R4,Kaini Industries,short_term,2.1818181818181817,3FJ4suZo6FuW0xmARmE0R4,0.0189,0.343,-30.354,0.719,77.118,1,0.0359,0.99,0.924,59293,4
3JhOqm1Qc6HntAZP8Mz1uo,From Pink They Fell Into Blue,short_term,2.121212121212121,3JhOqm1Qc6HntAZP8Mz1uo,0.68,0.601,-7.774,0.267,106.671,1,0.0637,0.456,4.34e-05,227834,4
3Nyhz7qoHbzNhfvbicO02D,Girl Like Sally (feat. Kirin J Callinan),short_term,2.060606060606061,3Nyhz7qoHbzNhfvbicO02D,0.691,0.74,-8.557,0.627,109.875,1,0.026,0.433,0.014,313680,4
3xWSvA1I12TzogevV5HE4M,Pieces of Sound,short_term,1.9393939393939397,3xWSvA1I12TzogevV5HE4M,0.936,0.495,-7.337,0.808,99.958,0,0.0641,0.54,0.656,41307,4
42yyhfzkfJIjNHSy1deT0A,Love Theme (feat. Kadhja Bonet),short_term,1.878787878787879,42yyhfzkfJIjNHSy1deT0A,0.499,0.583,-10.617,0.354,160.024,0,0.0341,0.644,0.455,326427,4
48X4D1FYOShPz2VF3YdfCF,House Of Cards,short_term,1.8181818181818183,48X4D1FYOShPz2VF3YdfCF,0.499,0.708,-9.644,0.628,111.652,1,0.0297,0.269,0.57,328293,4
4i2F35b5tamKhvMsf0wuuL,Live to Win,short_term,1.6969696969696972,4i2F35b5tamKhvMsf0wuuL,0.949,0.224,-5.137,0.559,204.75,1,0.0674,0.00636,0.0321,216053,4
4pWIwnnqx8k01fuF95UMIg,Bodysnatchers,short_term,1.636363636363637,4pWIwnnqx8k01fuF95UMIg,0.976,0.342,-4.986,0.733,166.663,1,0.0573,0.00443,0.0175,242293,4
4sTXJ6PF8UCycBMlDtB6n6,Ocean Road,short_term,1.5757575757575752,4sTXJ6PF8UCycBMlDtB6n6,0.91,0.452,-4.12,0.464,104.61,0,0.0624,0.0177,0.931,160565,3
4wajJ1o7jWIg62YqpkHC7S,Weird Fishes/ Arpeggi,short_term,1.5151515151515147,4wajJ1o7jWIg62YqpkHC7S,0.61,0.531,-8.025,0.199,152.958,0,0.0387,0.772,0.756,318187,4
50fkJxrv0ZLTt9EHZGBOP7,Canon x Love S.O.S. (WWW),short_term,1.454545454545454,50fkJxrv0ZLTt9EHZGBOP7,0.921,0.555,-7.058,0.217,116.998,0,0.0996,0.0124,0.00131,287253,4
5fdJ9yD4BMXogf3183BXd3,Papillons,short_term,1.3939393939393936,5fdJ9yD4BMXogf3183BXd3,0.057,0.203,-23.709,0.0369,86.963,0,0.0372,0.775,0.906,174000,1
6DwgovwzeHZa2Ka0xuoDlT,Cité radieuse,short_term,1.2727272727272725,6DwgovwzeHZa2Ka0xuoDlT,0.403,0.747,-13.643,0.227,172.539,1,0.078,0.984,0.906,247240,3
6t5LvKZevNXyHXhROrMR9t,Fat Old Sun,short_term,1.1515151515151514,6t5LvKZevNXyHXhROrMR9t,0.274,0.174,-15.234,0.0334,119.803,0,0.0428,0.985,0.909,279512,4
7AfbtT8GN1iv3Crb11NaVI,Telephasic Workshop,short_term,1.0909090909090908,7AfbtT8GN1iv3Crb11NaVI,0.83,0.772,-14.395,0.579,100.055,1,0.139,0.0175,0.843,395480,4
7keJ7uDxNNp2RFx91ZgWpc,Bocuma,short_term,1.0303030303030305,7keJ7uDxNNp2RFx91ZgWpc,0.103,0.267,-24.083,0.324,125.593,0,0.047,0.992,0.932,95973,5
7sAzXuEwz0sOhnB57xoccs,An Eagle In Your Mind,short_term,0.9696969696969696,7sAzXuEwz0sOhnB57xoccs,0.467,0.825,-14.053,0.252,96.014,1,0.0752,0.371,0.847,385520,4
0ansk2O9qsXta073JyOKKD,Kounkoun,short_term,0.7878787878787881,0ansk2O9qsXta073JyOKKD,0.724,0.653,-7.759,0.896,95.042,0,0.0373,0.377,0.000111,286187,4
0uEBBlkHjdxSUty2ANx8SZ,Norfolk Hotel,short_term,0.7272727272727275,0uEBBlkHjdxSUty2ANx8SZ,0.76,0.441,-6.618,0.508,112.52,1,0.0569,0.422,0.0522,274177,4
15irEKZ9D6FQqLoZ1qJ1Cx,Faust Arp,short_term,0.6666666666666661,15irEKZ9D6FQqLoZ1qJ1Cx,0.288,0.337,-13.477,0.225,105.036,0,0.0321,0.84,0.199,129680,4
1GXHYRKZnCxmuJQ4eesNI6,The Cure,short_term,0.6060606060606055,1GXHYRKZnCxmuJQ4eesNI6,0.672,0.207,-6.27,0.348,124.695,1,0.0544,0.0522,1.95e-05,223234,4
1xkYnVp4lmP9r1W1DVd6Pd,Infinite End,short_term,0.4848484848484844,1xkYnVp4lmP9r1W1DVd6Pd,0.361,0.665,-12.816,0.431,122.017,0,0.0429,0.911,0.948,361000,4
1zPRp8SGQu5nATv2Telw2D,Sex Music,short_term,0.4242424242424238,1zPRp8SGQu5nATv2Telw2D,0.622,0.783,-10.373,0.673,94.173,1,0.0432,0.529,0.841,230634,4
2A6YNzhnvSgaqkJzDjtVyf,Sixtyten,short_term,0.3636363636363633,2A6YNzhnvSgaqkJzDjtVyf,0.725,0.754,-14.688,0.657,109.579,1,0.0636,0.0204,0.805,348347,4
2CcYI8KxDgOiOaM7axIP3h,Fadjamou,short_term,0.3030303030303027,2CcYI8KxDgOiOaM7axIP3h,0.967,0.444,-5.332,0.926,132.851,0,0.0839,0.168,4.7e-05,275867,4
2TdpGmTV28dk9XPJhHq1h1,Yere faga,short_term,0.1212121212121211,2TdpGmTV28dk9XPJhHq1h1,0.728,0.738,-6.949,0.547,104.989,1,0.0392,0.393,0.000199,311267,4
2egYFLjRGuzt8lYM1Yznz2,"Schwanengesang, D. 957: IV. Ständchen",short_term,0.0606060606060605,2egYFLjRGuzt8lYM1Yznz2,0.024,0.304,-26.397,0.0464,124.366,1,0.0407,0.985,1.07e-05,254560,4
35YyxFpE0ZTOoqFx5bADW8,Nude,short_term,0.0,35YyxFpE0ZTOoqFx5bADW8,0.342,0.516,-9.785,0.167,128.378,1,0.0342,0.832,0.579,255387,3
1wQL1hqKJNlOZr5vVgIytr,Bennington (2007),medium_term,7.636363636363637,1wQL1hqKJNlOZr5vVgIytr,0.379,0.709,-9.953,0.786,134.952,0,0.0322,0.00145,0.639,193013,4
4L9UGREMQBfYLmGwlACgTV,Moskau,medium_term,7.575757575757576,4L9UGREMQBfYLmGwlACgTV,0.963,0.493,-3.41,0.305,147.992,1,0.0638,2.25e-05,0.667,256307,4
6q0vpZDGYCpYd3DDTfjSFX,Now Summer Is Gone,medium_term,7.515151515151516,6q0vpZDGYCpYd3DDTfjSFX,0.259,0.062,-10.525,0.133,211.879,1,0.0339,0.514,0.883,228358,4
0clHX7YnFCB2prSGUKIXOs,Badi Sabah Olmadan,medium_term,7.454545454545455,0clHX7YnFCB2prSGUKIXOs,0.671,0.413,-9.256,0.417,172.052,1,0.0346,0.00217,0.375,283399,4
1rHlc3clkZmCryFhGoRRXB,The Community Of Hope,medium_term,7.393939393939394,1rHlc3clkZmCryFhGoRRXB,0.879,0.61,-7.908,0.634,132.913,1,0.0444,0.63,0.0,143573,4
2MC5MLUdhrVUWGHUFHvaLF,Wollt ihr das Bett in Flammen sehen,medium_term,7.333333333333333,2MC5MLUdhrVUWGHUFHvaLF,0.766,0.673,-7.342,0.641,129.928,1,0.0394,2.37e-05,0.673,315851,4
0BuiYLxZ8w3abLHgcIVXjJ,The Voice Is Calling Us,medium_term,7.272727272727272,0BuiYLxZ8w3abLHgcIVXjJ,0.443,0.31,-10.024,0.0396,160.079,0,0.032,0.547,0.977,204977,4
3gIBSlXYIN1mru35l4LWPB,Still Crazy After All These Years,medium_term,7.151515151515151,3gIBSlXYIN1mru35l4LWPB,0.252,0.267,-11.687,0.13,37.114,1,0.0351,0.8,4.43e-05,206533,4
032flQPlMVQiDQ2mM8PJT2,Automaton,medium_term,7.090909090909091,032flQPlMVQiDQ2mM8PJT2,0.828,0.622,-7.172,0.943,145.001,1,0.0331,0.00723,0.172,312268,4
3h8x8UE8mgOCkorEsAMRFR,Get Innocuous! - Soulwax Remix,medium_term,7.03030303030303,3h8x8UE8mgOCkorEsAMRFR,0.997,0.667,-5.832,0.693,118.0,1,0.0457,0.0748,0.738,601240,4
0UKz1qLNjzU1tOJ8Gympzq,(The Death of Ruby),medium_term,6.96969696969697,0UKz1qLNjzU1tOJ8Gympzq,0.434,0.666,-15.74,0.065,91.997,1,0.0662,0.279,0.396,101739,4
6wOmGciNCGwEO1C79Yvlml,Sonatina,medium_term,6.909090909090909,6wOmGciNCGwEO1C79Yvlml,0.249,0.426,-12.062,0.174,77.781,1,0.0286,0.755,0.735,210733,4
5Vsx7c7vcVmQLu2Acg6AUP,Skyscraper,medium_term,6.787878787878788,5Vsx7c7vcVmQLu2Acg6AUP,0.596,0.565,-7.028,0.851,103.009,0,0.026,0.000161,0.000548,237785,4
7cfH4PBHP8bNKpfmIrXgLD,"The Original Theme from ""Blade"" - 2016 Remaster",medium_term,6.727272727272728,7cfH4PBHP8bNKpfmIrXgLD,0.998,0.561,-3.669,0.484,136.206,0,0.0797,0.42,0.173,623013,4
5QO3UJc1gF1ummP75n2b3R,Goca Dünya,medium_term,6.666666666666666,5QO3UJc1gF1ummP75n2b3R,0.683,0.738,-5.099,0.802,97.484,0,0.0622,0.0485,0.000728,240093,4
0fsRZR40GASck3rxMJerWT,Surface Pan,medium_term,6.6060606060606055,0fsRZR40GASck3rxMJerWT,0.0955,0.533,-27.462,0.184,94.962,0,0.0427,0.963,0.944,311250,3
0mQpx1PTcA2v4CqYlWPhFj,Estranged From Itself,medium_term,6.545454545454545,0mQpx1PTcA2v4CqYlWPhFj,0.535,0.161,-8.819,0.135,101.967,1,0.0307,0.00468,0.0209,287426,4
0yevg3L0wpe3cJTWrMkTRX,Doves Dance,medium_term,6.484848484848484,0yevg3L0wpe3cJTWrMkTRX,0.174,0.56,-21.558,0.158,101.95,0,0.0331,0.865,0.891,535040,4
2Rr22UFL2JTTTflT2iD14Z,Edo,medium_term,6.424242424242424,2Rr22UFL2JTTTflT2iD14Z,0.0437,0.13,-25.968,0.0373,80.169,0,0.0544,0.842,0.852,292000,4
7wXJyWtRktzx7shORVNX5B,Strange Overtones,medium_term,6.363636363636363,7wXJyWtRktzx7shORVNX5B,0.838,0.694,-6.942,0.809,109.976,1,0.0465,0.271,0.00326,256493,4
