id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature,pitches,timbre,key,mode,id_copy_2
1uX5AUX69UtVhxbFI6H1Ql,Cheap And Cheerful - Sebastian remix,short_term,3.939393939393939,1uX5AUX69UtVhxbFI6H1Ql,0.781,0.586,-5.877,0.265,128.972,1,0.252,0.00375,3.41e-05,356400,4,"[0.48, 0.86, 0.43, 0.41, 0.37, 0.3, 0.21, 0.23, 0.31, 0.22, 0.25, 0.26]","[49.56, 95.37, 17.67, -9.35, 13.04, -27.14, -9.93, 3.22, -5.5, 3.56, -12.65, -3.79]",80.0,0.8,1uX5AUX69UtVhxbFI6H1Ql
2tosp3JAI9RxoiJmk6lDQB,Agoraphobia,short_term,3.878787878787879,2tosp3JAI9RxoiJmk6lDQB,0.268,0.62,-22.273,0.145,133.011,0,0.0386,0.993,0.923,234827,4,"[0.47, 0.88, 0.68, 0.17, 0.17, 0.45, 0.8, 0.19, 0.33, 0.5, 0.42, 0.65]","[34.63, -166.63, 0.88, -16.77, 39.33, -20.53, -1.93, -2.58, 2.85, -3.8, -7.47, -1.44]",0.0,0.0,2tosp3JAI9RxoiJmk6lDQB
2uP6FN38qFGP5TrjEEyVbW,Function Music,short_term,3.8181818181818175,2uP6FN38qFGP5TrjEEyVbW,0.154,0.587,-15.71,0.0285,126.048,0,0.0318,0.956,0.86,302000,4,"[0.28, 0.69, 0.23, 0.49, 0.78, 0.11, 0.09, 0.31, 0.79, 0.12, 0.21, 0.52]","[38.87, -153.42, 16.53, -22.0, 7.55, -20.75, 13.53, 1.81, -10.48, -10.24, -7.88, 6.7]",88.88888888888889,0.6,2uP6FN38qFGP5TrjEEyVbW
2yPPWQwZOtmgW716VrtFwN,21st Century Schizoid Man,short_term,3.757575757575757,2yPPWQwZOtmgW716VrtFwN,0.97,0.0986,-3.373,0.0372,79.753,1,0.215,0.000312,0.763,521424,4,"[0.78, 0.61, 0.43, 0.43, 0.4, 0.43, 0.44, 0.5, 0.32, 0.33, 0.37, 0.38]","[53.95, 78.14, 11.23, -18.94, 7.4, -38.08, 7.65, 4.5, -2.67, 4.15, -5.13, 10.68]",90.9090909090909,0.77,2yPPWQwZOtmgW716VrtFwN
3hJ6I6Xr9cWiw5I2MPMDr6,Catch Yourself Falling (feat. Alexis Taylor),short_term,3.696969696969697,3hJ6I6Xr9cWiw5I2MPMDr6,0.775,0.707,-9.495,0.886,148.012,1,0.029,0.304,0.102,250200,4,"[0.47, 0.44, 0.35, 0.22, 0.39, 0.3, 0.32, 0.57, 0.26, 0.33, 0.19, 0.35]","[45.67, -25.98, -26.69, 3.33, 10.25, -26.83, -9.71, -12.87, -6.72, -3.86, -7.4, 0.76]",75.0,0.9,3hJ6I6Xr9cWiw5I2MPMDr6
42inyu6e9EOPzc5taK3H2G,Bena bena,short_term,3.636363636363636,42inyu6e9EOPzc5taK3H2G,0.901,0.61,-7.582,0.968,165.051,1,0.0353,0.57,0.0274,294627,3,"[0.62, 0.36, 0.28, 0.34, 0.29, 0.45, 0.4, 0.5, 0.28, 0.25, 0.39, 0.27]","[49.47, -25.76, -1.89, 1.02, 41.23, -22.17, -2.29, -7.05, -8.09, -3.98, -6.28, -1.64]",85.71428571428572,0.45,42inyu6e9EOPzc5taK3H2G
4cDJQmGTwOvujaQ4VwxMnp,The Border,short_term,3.515151515151515,4cDJQmGTwOvujaQ4VwxMnp,0.522,0.621,-11.769,0.364,105.005,1,0.0375,0.169,0.765,289507,4,"[0.71, 0.33, 0.16, 0.14, 0.16, 0.3, 0.19, 0.32, 0.2, 0.23, 0.36, 0.25]","[43.12, -53.23, -42.23, -11.03, -3.39, -33.79, -4.3, -12.51, -0.43, -4.98, -5.72, 4.74]",80.0,0.88,4cDJQmGTwOvujaQ4VwxMnp
5ypdfroOYzJ8OCFTdAxmE4,Back to Your Heart (feat. Kate NV),short_term,3.393939393939394,5ypdfroOYzJ8OCFTdAxmE4,0.382,0.688,-9.796,0.724,115.466,0,0.029,0.328,0.0785,286867,3,"[0.37, 0.37, 0.23, 0.4, 0.26, 0.44, 0.22, 0.19, 0.27, 0.2, 0.4, 0.28]","[44.49, -41.16, -6.99, -3.93, 25.84, -26.4, 4.12, -3.09, -0.43, -5.44, -7.6, 6.58]",87.5,0.18,5ypdfroOYzJ8OCFTdAxmE4
61ETUvhjw9Ama7Q9F4FFPe,The Madness and the Damage Done,short_term,3.333333333333333,61ETUvhjw9Ama7Q9F4FFPe,0.993,0.238,-2.293,0.0692,177.028,1,0.142,8.3e-05,0.462,320440,4,"[0.59, 0.6, 0.51, 0.48, 0.49, 0.57, 0.53, 0.46, 0.48, 0.47, 0.41, 0.4]","[56.2, 83.83, 10.99, -19.1, 10.05, -36.69, -1.11, 1.46, -0.66, 5.86, -6.17, 4.6]",92.3076923076923,0.79,61ETUvhjw9Ama7Q9F4FFPe
6GnwaKutVHDoDwJCJf0h4m,Concrete and Glass,short_term,3.212121212121212,6GnwaKutVHDoDwJCJf0h4m,0.423,0.802,-13.0,0.971,120.013,1,0.0943,0.709,0.869,252427,4,"[0.27, 0.29, 0.13, 0.36, 0.17, 0.45, 0.31, 0.15, 0.42, 0.15, 0.25, 0.13]","[40.44, -80.93, -53.68, 21.22, 26.75, -30.64, -8.97, -12.13, -14.65, 2.22, -7.35, 6.75]",88.88888888888889,0.77,6GnwaKutVHDoDwJCJf0h4m
7i7fHvZz7dx1JIuYiQFn1L,Dancing By Night,short_term,3.1515151515151514,7i7fHvZz7dx1JIuYiQFn1L,0.483,0.59,-6.775,0.0387,90.103,1,0.0314,0.077,0.0105,220540,4,"[0.67, 0.86, 0.34, 0.26, 0.11, 0.14, 0.17, 0.12, 0.19, 0.13, 0.16, 0.17]","[47.88, -12.15, -5.41, -11.79, 9.27, -29.14, 23.28, 3.65, 0.92, 3.84, -12.2, -2.43]",83.33333333333334,0.9,7i7fHvZz7dx1JIuYiQFn1L
5xJDI5YYHk6dFexvSVonw2,Unfold,short_term,2.909090909090909,5xJDI5YYHk6dFexvSVonw2,0.802,0.594,-6.084,0.759,107.861,1,0.0332,0.00329,0.0454,90127,4,"[0.61, 0.55, 0.32, 0.34, 0.25, 0.33, 0.26, 0.32, 0.28, 0.22, 0.28, 0.38]","[50.91, 27.59, 13.98, -2.93, -16.05, -19.17, 1.83, 3.81, -11.23, -5.67, -5.23, -6.52]",80.0,0.8,5xJDI5YYHk6dFexvSVonw2
02ppMPbg1OtEdHgoPqoqju,Reckoner,short_term,2.8484848484848486,02ppMPbg1OtEdHgoPqoqju,0.656,0.523,-7.441,0.214,104.271,0,0.0262,0.511,0.16,290213,4,"[0.5, 0.4, 0.32, 0.21, 0.51, 0.18, 0.2, 0.32, 0.18, 0.28, 0.27, 0.41]","[48.66, 25.79, -26.67, -22.23, 37.17, -33.03, -20.29, -9.57, -15.9, -6.9, -2.43, 0.14]",85.71428571428572,0.4,02ppMPbg1OtEdHgoPqoqju
03XCbuNqYCaPhoQQxTTZoz,Movement 5,short_term,2.727272727272727,03XCbuNqYCaPhoQQxTTZoz,0.836,0.711,-10.066,0.828,102.995,1,0.0435,0.787,0.832,281933,4,"[0.27, 0.32, 0.49, 0.17, 0.49, 0.25, 0.26, 0.28, 0.26, 0.31, 0.2, 0.25]","[44.65, -48.86, -0.37, 35.22, 30.87, -41.12, -25.59, -7.74, -3.8, -0.98, -6.73, 4.52]",87.5,0.85,03XCbuNqYCaPhoQQxTTZoz
0YJ9FWWHn9EfnN0lHwbzvV,Jigsaw Falling Into Place,short_term,2.6666666666666665,0YJ9FWWHn9EfnN0lHwbzvV,0.832,0.462,-6.085,0.807,165.653,0,0.0479,0.108,0.00416,248893,4,"[0.36, 0.45, 0.48, 0.32, 0.44, 0.34, 0.46, 0.25, 0.19, 0.26, 0.26, 0.54]","[49.39, 7.37, -23.42, -10.19, 18.11, -28.4, 4.97, -9.17, -4.67, -1.86, -10.25, 2.25]",83.33333333333334,0.2,0YJ9FWWHn9EfnN0lHwbzvV
0rkUalLPi1bcCId3UWuure,Time On My Hands (feat. Kirin J Callinan),short_term,2.606060606060606,0rkUalLPi1bcCId3UWuure,0.457,0.705,-11.278,0.163,109.989,1,0.0303,0.792,0.864,268040,4,"[0.23, 0.17, 0.25, 0.15, 0.39, 0.16, 0.24, 0.48, 0.27, 0.6, 0.21, 0.18]","[42.12, -98.98, -11.73, -9.91, -3.33, -26.03, 4.11, -3.29, -11.97, -8.22, -8.22, 0.36]",87.5,0.79,0rkUalLPi1bcCId3UWuure
0sgzC3F93Dh76Yfj5gNUkT,The Color Of The Fire,short_term,2.5454545454545454,0sgzC3F93Dh76Yfj5gNUkT,0.093,0.253,-25.475,0.0609,79.582,1,0.0322,0.967,0.617,105627,4,"[0.32, 0.34, 0.25, 0.38, 0.19, 0.3, 0.4, 0.36, 0.39, 0.33, 0.39, 0.26]","[32.3, -88.46, 17.64, -19.25, 30.55, -32.53, 2.44, -0.17, 5.36, -1.7, -3.56, 12.43]",83.33333333333333,1.0,0sgzC3F93Dh76Yfj5gNUkT
1Xijd6plP4qvI8XtJwBLIP,"Turn Right, Turn Left",short_term,2.484848484848485,1Xijd6plP4qvI8XtJwBLIP,0.486,0.526,-12.025,0.109,111.424,1,0.0294,0.285,0.805,234907,4,"[0.37, 0.35, 0.29, 0.29, 0.29, 0.35, 0.27, 0.33, 0.27, 0.38, 0.37, 0.24]","[42.29, -49.32, -1.59, -8.85, 21.71, -36.46, 7.09, -7.25, -9.75, -5.21, -4.67, 4.5]",88.88888888888889,0.78,1Xijd6plP4qvI8XtJwBLIP
